,wave,flux,error,model,cont,OIIIb_br,OIIIb_na,hbeta_br,hbeta_na,halpha_br,halpha_na
0,2900.2744,66.5082,2.6548111,59.86287884611831,59.86287884611831,0.0,0.0,0.0,0.0,0.0,0.0
1,2900.9417,62.382515,2.5777133,59.8393594273889,59.8393594273889,0.0,0.0,0.0,0.0,0.0,0.0
2,2901.6091,64.640335,2.6520758,59.81584605730202,59.81584605730202,0.0,0.0,0.0,0.0,0.0,0.0
3,2902.2783,66.453186,2.6653233,59.792287185551544,59.792287185551544,0.0,0.0,0.0,0.0,0.0,0.0
4,2902.9458,64.02902,2.63098,59.76880312950633,59.76880312950633,0.0,0.0,0.0,0.0,0.0,0.0
5,2903.6152,62.04846,2.6186547,59.74526504016715,59.74526504016715,0.0,0.0,0.0,0.0,0.0,0.0
6,2904.2832,64.41335,2.597743,59.72179310097683,59.72179310097683,0.0,0.0,0.0,0.0,0.0,0.0
7,2904.953,60.11079,2.522549,59.69827578140099,59.69827578140099,0.0,0.0,0.0,0.0,0.0,0.0
8,2905.6213,63.904785,2.5745819,59.674815967895725,59.674815967895725,0.0,0.0,0.0,0.0,0.0,0.0
9,2906.2896,65.86877,2.5667367,59.6513793269731,59.6513793269731,0.0,0.0,0.0,0.0,0.0,0.0
10,2906.96,59.009678,2.4514477,59.62788028126762,59.62788028126762,0.0,0.0,0.0,0.0,0.0,0.0
11,2907.6287,53.78223,2.4205232,59.60445575518698,59.60445575518698,0.0,0.0,0.0,0.0,0.0,0.0
12,2908.299,63.33357,2.4885726,59.580986005159176,59.580986005159176,0.0,0.0,0.0,0.0,0.0,0.0
13,2908.9683,59.920277,2.5182114,59.557573597338234,59.557573597338234,0.0,0.0,0.0,0.0,0.0,0.0
14,2909.639,62.554882,2.5012453,59.53412457009044,59.53412457009044,0.0,0.0,0.0,0.0,0.0,0.0
15,2910.3083,60.661438,2.597522,59.51073281748256,59.51073281748256,0.0,0.0,0.0,0.0,0.0,0.0
16,2910.9778,56.315903,2.4998531,59.487355632624514,59.487355632624514,0.0,0.0,0.0,0.0,0.0,0.0
17,2911.6492,60.74217,2.522798,59.4639248620764,59.4639248620764,0.0,0.0,0.0,0.0,0.0,0.0
18,2912.3188,58.4389,2.3845987,59.440568305567886,59.440568305567886,0.0,0.0,0.0,0.0,0.0,0.0
19,2912.9905,60.95957,2.3830142,59.417158234072865,59.417158234072865,0.0,0.0,0.0,0.0,0.0,0.0
20,2913.6606,60.08041,2.4318025,59.39381378629868,59.39381378629868,0.0,0.0,0.0,0.0,0.0,0.0
21,2914.3325,58.81633,2.4428682,59.3704244011519,59.3704244011519,0.0,0.0,0.0,0.0,0.0,0.0
22,2915.003,61.641968,2.5040848,59.34710056180462,59.34710056180462,0.0,0.0,0.0,0.0,0.0,0.0
23,2915.6733,65.69923,2.5768704,59.32379124567571,59.32379124567571,0.0,0.0,0.0,0.0,0.0,0.0
24,2916.3462,63.174007,2.5639415,59.30041163511396,59.30041163511396,0.0,0.0,0.0,0.0,0.0,0.0
25,2917.0168,62.299416,2.5121722,59.277122905833515,59.277122905833515,0.0,0.0,0.0,0.0,0.0,0.0
26,2917.6897,61.046097,2.4984324,59.25377244358655,59.25377244358655,0.0,0.0,0.0,0.0,0.0,0.0
27,2918.3608,62.91203,2.4760354,59.23049581328729,59.23049581328729,0.0,0.0,0.0,0.0,0.0,0.0
28,2919.0337,66.53121,2.5072525,59.207174460185925,59.207174460185925,0.0,0.0,0.0,0.0,0.0,0.0
29,2919.7053,65.48121,2.4913805,59.18390993207338,59.18390993207338,0.0,0.0,0.0,0.0,0.0,0.0
30,2920.377,60.12234,2.3788638,59.16065989324991,59.16065989324991,0.0,0.0,0.0,0.0,0.0,0.0
31,2921.0505,62.468773,2.4140143,59.13735678267022,59.13735678267022,0.0,0.0,0.0,0.0,0.0,0.0
32,2921.7224,66.66693,2.6832588,59.114127289102086,59.114127289102086,0.0,0.0,0.0,0.0,0.0,0.0
33,2922.3967,64.346275,2.6425166,59.09082792768597,59.09082792768597,0.0,0.0,0.0,0.0,0.0,0.0
34,2923.0688,61.8991,2.3926878,59.06761897195451,59.06761897195451,0.0,0.0,0.0,0.0,0.0,0.0
35,2923.743,66.840126,2.4621751,59.04435708440802,59.04435708440802,0.0,0.0,0.0,0.0,0.0,0.0
36,2924.4155,65.01167,2.470269,59.0211602207964,59.0211602207964,0.0,0.0,0.0,0.0,0.0,0.0
37,2925.0884,66.12804,2.4691966,58.99796938998598,58.99796938998598,0.0,0.0,0.0,0.0,0.0,0.0
38,2925.763,64.26134,2.4485714,58.974734154559606,58.974734154559606,0.0,0.0,0.0,0.0,0.0,0.0
39,2926.436,66.37512,2.486487,58.951563832535555,58.951563832535555,0.0,0.0,0.0,0.0,0.0,0.0
40,2927.1108,67.61137,2.42723,58.928349165073946,58.928349165073946,0.0,0.0,0.0,0.0,0.0,0.0
41,2927.7842,60.546207,2.3972344,58.90519933390565,58.90519933390565,0.0,0.0,0.0,0.0,0.0,0.0
42,2928.4592,62.34739,2.4024408,58.88200521639207,58.88200521639207,0.0,0.0,0.0,0.0,0.0,0.0
43,2929.133,63.197422,2.364634,58.8588674775317,58.8588674775317,0.0,0.0,0.0,0.0,0.0,0.0
44,2929.807,64.81143,2.3979704,58.83574414960612,58.83574414960612,0.0,0.0,0.0,0.0,0.0,0.0
45,2930.4824,64.78667,2.367017,58.8125766290202,58.8125766290202,0.0,0.0,0.0,0.0,0.0,0.0
46,2931.1565,63.384266,2.3632665,58.789473757619255,58.789473757619255,0.0,0.0,0.0,0.0,0.0,0.0
47,2931.8325,64.405685,2.3808866,58.766318392690955,58.766318392690955,0.0,0.0,0.0,0.0,0.0,0.0
48,2932.507,67.401794,2.3984268,58.74322761056751,58.74322761056751,0.0,0.0,0.0,0.0,0.0,0.0
49,2933.1833,64.02273,2.3870082,58.72009276389508,58.72009276389508,0.0,0.0,0.0,0.0,0.0,0.0
50,2933.8577,64.677155,2.3612278,58.69703911153588,58.69703911153588,0.0,0.0,0.0,0.0,0.0,0.0
51,2934.533,68.72548,2.428186,58.6739664492851,58.6739664492851,0.0,0.0,0.0,0.0,0.0,0.0
