,wave,flux,error,model,cont,OIIIb_br,OIIIb_na,hbeta_br,hbeta_na,halpha_br,halpha_na
0,2900.6392,57.616093,1.5156279,67.98668040266703,67.98668040266703,0.0,0.0,0.0,0.0,0.0,0.0
1,2901.3066,60.64701,1.5591953,67.97357581717114,67.97357581717114,0.0,0.0,0.0,0.0,0.0,0.0
2,2901.9753,59.895477,1.5404168,67.96045282050883,67.96045282050883,0.0,0.0,0.0,0.0,0.0,0.0
3,2902.643,59.37661,1.5576364,67.94735453256956,67.94735453256956,0.0,0.0,0.0,0.0,0.0,0.0
4,2903.3125,59.541332,1.5369115,67.93422827834625,67.93422827834625,0.0,0.0,0.0,0.0,0.0,0.0
5,2903.9805,59.093475,1.5335122,67.92113628967888,67.92113628967888,0.0,0.0,0.0,0.0,0.0,0.0
6,2904.6501,59.766003,1.5405601,67.90801635988832,67.90801635988832,0.0,0.0,0.0,0.0,0.0,0.0
7,2905.3184,61.131985,1.5621365,67.89493066815275,67.89493066815275,0.0,0.0,0.0,0.0,0.0,0.0
8,2905.9868,59.93283,1.5433393,67.88184572843754,67.88184572843754,0.0,0.0,0.0,0.0,0.0,0.0
9,2906.6567,57.005917,1.513853,67.8687376632836,67.8687376632836,0.0,0.0,0.0,0.0,0.0,0.0
10,2907.3257,57.40754,1.5194873,67.85565424505319,67.85565424505319,0.0,0.0,0.0,0.0,0.0,0.0
11,2907.9956,61.147312,1.5559145,67.84255727036043,67.84255727036043,0.0,0.0,0.0,0.0,0.0,0.0
12,2908.6655,60.781765,1.554638,67.82946583950509,67.82946583950509,0.0,0.0,0.0,0.0,0.0,0.0
13,2909.336,60.63865,1.5537715,67.81637041306297,67.81637041306297,0.0,0.0,0.0,0.0,0.0,0.0
14,2910.0051,61.257164,1.5513608,67.80330436070398,67.80330436070398,0.0,0.0,0.0,0.0,0.0,0.0
15,2910.675,60.109737,1.5469292,67.79022953762183,67.79022953762183,0.0,0.0,0.0,0.0,0.0,0.0
16,2911.3462,58.71503,1.5175796,67.7771364346408,67.7771364346408,0.0,0.0,0.0,0.0,0.0,0.0
17,2912.016,59.357,1.5295658,67.76407267674851,67.76407267674851,0.0,0.0,0.0,0.0,0.0,0.0
18,2912.6875,60.539837,1.537667,67.75098589405442,67.75098589405442,0.0,0.0,0.0,0.0,0.0,0.0
19,2913.3577,59.740337,1.5373477,67.73792843309802,67.73792843309802,0.0,0.0,0.0,0.0,0.0,0.0
20,2914.0293,57.343246,1.5051202,67.7248479683,67.7248479683,0.0,0.0,0.0,0.0,0.0,0.0
21,2914.6995,57.710804,1.5149822,67.7118015536963,67.7118015536963,0.0,0.0,0.0,0.0,0.0,0.0
22,2915.37,60.59432,1.5398421,67.69875115127685,67.69875115127685,0.0,0.0,0.0,0.0,0.0,0.0
23,2916.0422,62.259525,1.5633754,67.68567777841551,67.68567777841551,0.0,0.0,0.0,0.0,0.0,0.0
24,2916.7134,60.822994,1.5509306,67.67262892526445,67.67262892526445,0.0,0.0,0.0,0.0,0.0,0.0
25,2917.386,60.650627,1.5392512,67.65955712659925,67.65955712659925,0.0,0.0,0.0,0.0,0.0,0.0
26,2918.0574,60.711105,1.5542759,67.64651457412252,67.64651457412252,0.0,0.0,0.0,0.0,0.0,0.0
27,2918.7297,60.436325,1.5353705,67.63345857649084,67.63345857649084,0.0,0.0,0.0,0.0,0.0,0.0
28,2919.4016,60.174625,1.5391419,67.6204175805552,67.6204175805552,0.0,0.0,0.0,0.0,0.0,0.0
29,2920.073,60.08329,1.531406,67.60739157068542,67.60739157068542,0.0,0.0,0.0,0.0,0.0,0.0
30,2920.746,59.640427,1.5314875,67.59433792772829,67.59433792772829,0.0,0.0,0.0,0.0,0.0,0.0
31,2921.4182,59.167133,1.5243207,67.5813087390953,67.5813087390953,0.0,0.0,0.0,0.0,0.0,0.0
32,2922.092,59.675304,1.5249962,67.5682519502294,67.5682519502294,0.0,0.0,0.0,0.0,0.0,0.0
33,2922.7644,58.83973,1.5080307,67.55522905989788,67.55522905989788,0.0,0.0,0.0,0.0,0.0,0.0
34,2923.4382,59.058205,1.5097088,67.5421833198685,67.5421833198685,0.0,0.0,0.0,0.0,0.0,0.0
35,2924.1108,61.23732,1.536669,67.5291667234325,67.5291667234325,0.0,0.0,0.0,0.0,0.0,0.0
36,2924.7834,60.70421,1.5345122,67.51615562841256,67.51615562841256,0.0,0.0,0.0,0.0,0.0,0.0
37,2925.4578,60.51565,1.5322701,67.50311699314388,67.50311699314388,0.0,0.0,0.0,0.0,0.0,0.0
38,2926.1309,60.074657,1.522694,67.49010746868976,67.49010746868976,0.0,0.0,0.0,0.0,0.0,0.0
39,2926.8054,60.0356,1.524244,67.47707514846681,67.47707514846681,0.0,0.0,0.0,0.0,0.0,0.0
40,2927.479,59.555664,1.5150311,67.4640672021477,67.4640672021477,0.0,0.0,0.0,0.0,0.0,0.0
41,2928.1538,59.38093,1.5225731,67.45104119653104,67.45104119653104,0.0,0.0,0.0,0.0,0.0,0.0
42,2928.8276,61.497856,1.5337443,67.4380395456466,67.4380395456466,0.0,0.0,0.0,0.0,0.0,0.0
43,2929.5015,58.53378,1.4962575,67.42504339096847,67.42504339096847,0.0,0.0,0.0,0.0,0.0,0.0
44,2930.1768,59.51564,1.5233792,67.41202449432078,67.41202449432078,0.0,0.0,0.0,0.0,0.0,0.0
45,2930.8508,62.306694,1.5427189,67.39903462945259,67.39903462945259,0.0,0.0,0.0,0.0,0.0,0.0
46,2931.5266,61.440952,1.5244741,67.38601734151999,67.38601734151999,0.0,0.0,0.0,0.0,0.0,0.0
47,2932.2014,57.976368,1.5064772,67.37302436643651,67.37302436643651,0.0,0.0,0.0,0.0,0.0,0.0
48,2932.8772,58.748905,1.490537,67.36001809430567,67.36001809430567,0.0,0.0,0.0,0.0,0.0,0.0
49,2933.5522,57.051228,1.4877281,67.3470314161018,67.3470314161018,0.0,0.0,0.0,0.0,0.0,0.0
50,2934.2268,60.678154,1.5060358,67.33405961652593,67.33405961652593,0.0,0.0,0.0,0.0,0.0,0.0
51,2934.9036,62.64424,1.5606186,67.3210510697764,67.3210510697764,0.0,0.0,0.0,0.0,0.0,0.0
52,2935.5786,61.165813,1.5319458,67.30808086362978,67.30808086362978,0.0,0.0,0.0,0.0,0.0,0.0
53,2936.2559,59.668713,1.517285,67.29507394681113,67.29507394681113,0.0,0.0,0.0,0.0,0.0,0.0
54,2936.9312,59.81696,1.5185616,67.28211002944782,67.28211002944782,0.0,0.0,0.0,0.0,0.0,0.0
55,2937.6082,61.046192,1.5270762,67.26911880172746,67.26911880172746,0.0,0.0,0.0,0.0,0.0,0.0
56,2938.2844,58.89282,1.5176448,67.25614712095741,67.25614712095741,0.0,0.0,0.0,0.0,0.0,0.0
57,2938.9622,60.347103,1.5269989,67.24315284620957,67.24315284620957,0.0,0.0,0.0,0.0,0.0,0.0
58,2939.638,61.83884,1.5519476,67.23020150104274,67.23020150104274,0.0,0.0,0.0,0.0,0.0,0.0
59,2940.3147,59.63925,1.5260012,67.21723692254027,67.21723692254027,0.0,0.0,0.0,0.0,0.0,0.0
60,2940.9924,60.381855,1.5314468,67.20425913086238,67.20425913086238,0.0,0.0,0.0,0.0,0.0,0.0
61,2941.6692,60.696243,1.5401688,67.19130552240118,67.19130552240118,0.0,0.0,0.0,0.0,0.0,0.0
62,2942.3472,63.149723,1.5590255,67.17833403936447,67.17833403936447,0.0,0.0,0.0,0.0,0.0,0.0
