# iter, APOLY_COEFF_1, APOLY_COEFF_2, APOLY_COEFF_3, APOLY_COEFF_4, APOLY_COEFF_5, APOLY_COEFF_6, APOLY_COEFF_7, POWER_AMP, POWER_SLOPE, NA_H_BETA_VOFF, NA_H_BETA_AMP, NA_H_BETA_2_AMP, NA_OIII_4960_AMP, NA_OIII_4960_2_AMP, NA_OIII_5007_VOFF, NA_OIII_5007_AMP, NA_OIII_5007_DISP, NA_OIII_5007_2_VOFF, NA_OIII_5007_2_AMP, NA_OIII_5007_2_DISP, NA_H_ALPHA_VOFF, NA_H_ALPHA_AMP, NA_H_ALPHA_DISP, NA_H_ALPHA_2_VOFF, NA_H_ALPHA_2_AMP, NA_H_ALPHA_2_DISP, BR_H_BETA_VOFF, BR_H_BETA_AMP, BR_H_BETA_DISP, BR_OIII_4960_VOFF, BR_OIII_4960_AMP, BR_OIII_4960_DISP, BR_OIII_5007_VOFF, BR_OIII_5007_AMP, BR_OIII_5007_DISP, BR_H_ALPHA_VOFF, BR_H_ALPHA_AMP, BR_H_ALPHA_DISP
 0, 0.02820828943592381, -0.011097695409487672, 0.00402111769534339, 0.012701936705723366, -0.023791878938027144, -0.02332894322771971, 0.005561977747928973, 0.4289930628176059, -0.8387754664176121, 20.057094965916637, 0.24665534007362458, 5.3324090704686355, 0.07485955801795594, 1.0221186415822452, -5.834685993261627, 0.07330617886803528, 0.016763588318654002, -10.238243908764812, 10.24127283829261, 0.4854830950020275, 6.089951203053425, 0.0, 7.302342852003561, 1.8749844635161574, 2.3061713028120057, 0.4558115932263255, 79.48466746415261, 0.2125127661492317, 671.9325934013183, 19.28227590110078, 0.0, 494.72634799656765, 138.49289162508663, 0.4394680771532483, 795.7759292638344, 32.95427676066839, 0.585760007656009, 584.1942311974707
100, 0.028075983275281647, -0.011091661785923317, 0.003981716805264713, 0.01276152834653375, -0.02380767578294889, -0.023332469836511497, 0.005459275653213611, 0.42896572012816403, -0.8387659736584797, 20.05705470305288, 0.246663553476827, 5.332557816982298, 0.07478503890551386, 1.022043152182996, -5.834725395610554, 0.07333371818707643, 0.016807201748932972, -10.238321999777725, 10.241323951709013, 0.4854547716078587, 6.089935120277103, 0.0009300812559644171, 7.30224999917595, 1.875010065916115, 2.3062111647056343, 0.45582523752552273, 79.48455635632081, 0.2127229679840325, 671.9324507484756, 19.282345958768776, 0.0008945431098804242, 494.72631929701936, 138.49291549043073, 0.4395522460383131, 795.7760066527023, 32.954141519051554, 0.5858315923026712, 584.1942971649662
200, 0.028105296561503873, -0.011127592899270903, 0.003997183561514824, 0.012806326050925076, -0.02382251098435055, -0.02328513542387591, 0.0055425653868515605, 0.4289965833289215, -0.8384580166470342, 20.056631794497417, 0.24691226900486934, 5.332777629228653, 0.07493591365451605, 1.021663589287816, -5.835120821280636, 0.07324231534489797, 0.01692359797780351, -10.238459080932927, 10.241305617662263, 0.4849850323900087, 6.089626779491201, 0.0021875666406817778, 7.301621021602873, 1.874845826074688, 2.3064831069157132, 0.4557074066825109, 79.4847937189205, 0.21215831083510914, 671.9317281927092, 19.282414059346312, 0.0019965517613763743, 494.7261350789479, 138.49275037757567, 0.43918807983353714, 795.7762015566857, 32.9541760893701, 0.5862182580368019, 584.1944153145229
300, 0.028171091605132377, -0.011133437322082627, 0.004075588226629493, 0.012861872281720045, -0.0237164127278615, -0.0232040234883237, 0.0057493396176396955, 0.4289872685625969, -0.8391537849507729, 20.055991778441815, 0.24791676892693612, 5.332917356970354, 0.07597779118421465, 1.0210317427479105, -5.83543263632299, 0.07356162686051941, 0.019701516464029685, -10.23944452397224, 10.241717418905786, 0.48486905142633063, 6.08859658262322, 0.004260214319989188, 7.300187320037363, 1.8739493172766015, 2.306558793412932, 0.4568381707624977, 79.48553966633192, 0.21198349772447903, 671.9303509961123, 19.281519489988668, 0.003822644698519001, 494.7256172355964, 138.49190344938322, 0.4385446648975064, 795.7750952214075, 32.95486142522071, 0.5859053508977777, 584.1952596108646
400, 0.028725177747326153, -0.011280670154706745, 0.004034700966316658, 0.012784408119730846, -0.023821662406508997, -0.02332152518097761, 0.005836366611170338, 0.4288231667882079, -0.8413097953479851, 20.052544318338224, 0.2485866850565523, 5.331794219271748, 0.07893315217444455, 1.0213867565941044, -5.834027138946294, 0.07452306614685746, 0.027493761830474486, -10.242332865864485, 10.241902021289043, 0.48467009370209135, 6.086754246622327, 0.007111033042823399, 7.297489279763438, 1.8726521266221638, 2.3058446371652304, 0.45902715360270124, 79.48568264503574, 0.21231727577697923, 671.9284471226804, 19.27945545908738, 0.005647139810914453, 494.7273793329017, 138.48988631763532, 0.43839462333237944, 795.7716716906566, 32.954576423660825, 0.5855153476178433, 584.1959987103759
500, 0.029449340935042718, -0.011351008355339469, 0.004111423732414254, 0.012645304911192552, -0.02384849760317195, -0.023206718426947076, 0.005785314559063095, 0.42860515536707805, -0.8439930088835474, 20.044742297727133, 0.2517799948583438, 5.331719845501051, 0.085816564420168, 1.0216406130397218, -5.838092233071734, 0.0801902613521574, 0.040441217217429576, -10.242540492976824, 10.240909338824418, 0.48206038749923674, 6.083311618366829, 0.010761099555777278, 7.291979266998369, 1.8704840726724752, 2.306453277523338, 0.4646738431891135, 79.48646664815423, 0.21274893496928113, 671.9277225698982, 19.275225893124535, 0.00704815143748652, 494.7245268943732, 138.4880603492669, 0.4377604306272644, 795.7647021369712, 32.95545836586881, 0.5864755795598697, 584.195832403369
600, 0.029682778608117934, -0.011293108233242736, 0.0043887147526108705, 0.012618595318234787, -0.02385567947322262, -0.023232873545629973, 0.005622582894619315, 0.42852953395944865, -0.8458213565807104, 20.034315889792047, 0.2675428338010016, 5.335118611525247, 0.10641877779773683, 1.0276562338149635, -5.843388711738903, 0.09213140817688116, 0.055186400980150485, -10.246075434174827, 10.235567060186456, 0.4817961614655689, 6.08302412082388, 0.015683087365314097, 7.284096575199408, 1.8629202545672054, 2.303437116939584, 0.47141559217087203, 79.4881099511018, 0.2131098671660941, 671.9281278180929, 19.265317405087863, 0.008468273581649803, 494.72419438453744, 138.4890288708017, 0.43748383261733814, 795.7580917230079, 32.956001242214505, 0.5865308440766274, 584.1945587656404
700, 0.03127374766188918, -0.011523186878942061, 0.004553782962393243, 0.012553568969151895, -0.02378261907999754, -0.02324325825250625, 0.005627422107730132, 0.42798753022506714, -0.8529721395772151, 20.024652168819134, 0.28676392242490406, 5.341674723205113, 0.13392776237967205, 1.0339401033089768, -5.844750366095938, 0.11406564722642618, 0.07910456880917657, -10.257508641126595, 10.223267525478839, 0.4953888912160204, 6.08302412082388, 0.02119066051285523, 7.276055439900698, 1.848425073935461, 2.3042167468554755, 0.48178564925534906, 79.49996950733816, 0.21303238280762263, 671.931476914697, 19.253419537138797, 0.009677422293732172, 494.72510730021304, 138.48949707643465, 0.436580829714287, 795.7529255713282, 32.95197450931465, 0.5854325894775724, 584.188988207015
800, 0.032175454903755625, -0.011580962799447942, 0.004668469266833823, 0.012560267462900962, -0.023915707182387263, -0.023187471490597675, 0.005696374324755596, 0.42777234673659276, -0.8575185108129697, 20.00196236229842, 0.3191513451752432, 5.363487524524446, 0.1751877001142858, 1.044980178394721, -5.857622889284341, 0.1403529369642771, 0.1033018606557486, -10.262049265768438, 10.20868315247522, 0.4999838234667737, 6.077540145867788, 0.028815308423260716, 7.259790034214713, 1.8431404368154487, 2.3037836668645824, 0.49378903959832726, 79.51104717503308, 0.21335600917689812, 671.9237591848287, 19.230347016729958, 0.009881802460658512, 494.7172047706303, 138.4741912805655, 0.43627353671795815, 795.7372736913584, 32.95432877066613, 0.58524195725319, 584.1965479262957
900, 0.030814488212409813, -0.01158320260997749, 0.004593397045368923, 0.012496477380101423, -0.023994400550968697, -0.02314281214767147, 0.005678402471696594, 0.42807538203770745, -0.8519834109820901, 19.964142908899646, 0.3601889820886007, 5.368346331906934, 0.21623045241613015, 1.0487523931641194, -5.876098221694053, 0.17460115578630725, 0.1328459512661388, -10.281676968630265, 10.205753884206134, 0.5074741095049395, 6.09632386880563, 0.034557508469228296, 7.221437538935511, 1.839457580025302, 2.2968210789447965, 0.5115064268467395, 79.52007775861006, 0.21394137664541438, 671.9285027042858, 19.207723612959303, 0.00998534450634432, 494.70942978578313, 138.46056040369493, 0.43579712190335296, 795.7260461339375, 32.95509453580869, 0.5845127422650039, 584.1990357210574
