,modelA_amp,modelA_slope,modelA_A_z,modelA_A_flux,modelA_A_cen,modelA_A_fwhm_km_s,modelA_B_z,modelA_B_flux,modelA_B_cen,modelA_B_fwhm_km_s,modelA_z,modelA_flux,modelA_cen,modelA_fwhm_km_s
median,3.18949678821763,-0.031633022045828074,0.348,255178.29416162157,375899552286426.1,405.6396910152912,0.348,162.51106452917796,6551.501439777856,1366.7690142210122,0.348,36.18941491710058,3783.216208963055,1437.6522178873454
lower,2.8178730611211837,-0.04709332460087497,0.348,255178.29416162157,375899552286426.1,405.6396910152912,0.348,158.06150456478196,6551.124150996952,1318.4281489634322,0.348,32.1444305973956,3782.216002103179,1340.3557913240368
upper,3.6680547813519278,-0.017811525330827714,0.348,255178.29416162157,375899552286426.1,405.6396910152912,0.348,166.2399841838459,6551.875337473887,1412.1421821669446,0.348,39.485222397383424,3784.00826884718,1561.1254126096824
