,wave,flux,error,model,cont,OIIIb_br,OIIIb_na,hbeta_br,hbeta_na,halpha_br,halpha_na
617,4062.744,3.3295603,1.348,3.273929322094837,3.273929322094837,0.0,0.0,0.0,0.0,0.0,0.0
618,4064.5667,3.3565197,1.348,3.2739268696189656,3.2739268696189656,0.0,0.0,0.0,0.0,0.0,0.0
619,4066.3997,3.38348,1.348,3.273924404457397,3.273924404457397,0.0,0.0,0.0,0.0,0.0,0.0
620,4068.2324,3.39696,1.348,3.2739219407367677,3.2739219407367677,0.0,0.0,0.0,0.0,0.0,0.0
621,4070.0554,3.4239202,1.348,3.2739194912463874,3.2739194912463874,0.0,0.0,0.0,0.0,0.0,0.0
622,4071.8877,3.46436,1.348,3.2739170303975316,3.2739170303975316,0.0,0.0,0.0,0.0,0.0,0.0
623,4073.719,3.49132,1.348,3.2739145719683043,3.2739145719683043,0.0,0.0,0.0,0.0,0.0,0.0
624,4075.5508,3.51828,1.348,3.273912113990784,3.273912113990784,0.0,0.0,0.0,0.0,0.0,0.0
625,4077.375,3.5452404,1.348,3.273909667268349,3.273909667268349,0.0,0.0,0.0,0.0,0.0,0.0
626,4079.2087,3.5587204,1.348,3.2739072088801224,3.2739072088801224,0.0,0.0,0.0,0.0,0.0,0.0
627,4081.0386,3.5721998,1.348,3.2739047568319686,3.2739047568319686,0.0,0.0,0.0,0.0,0.0,0.0
628,4082.8718,3.5721998,1.348,3.273902301307715,3.273902301307715,0.0,0.0,0.0,0.0,0.0,0.0
629,4084.7031,3.5721998,1.348,3.273899849501934,3.273899849501934,0.0,0.0,0.0,0.0,0.0,0.0
630,4086.5356,3.5587204,1.348,3.2738973971637426,3.2738973971637426,0.0,0.0,0.0,0.0,0.0,0.0
631,4088.3667,3.5452404,1.348,3.273894947885822,3.273894947885822,0.0,0.0,0.0,0.0,0.0,0.0
632,4090.1924,3.51828,1.348,3.2738925068861646,3.2738925068861646,0.0,0.0,0.0,0.0,0.0,0.0
633,4092.0227,3.49132,1.348,3.2738900607797414,3.2738900607797414,0.0,0.0,0.0,0.0,0.0,0.0
634,4093.8564,3.45088,1.348,3.2738876112041977,3.2738876112041977,0.0,0.0,0.0,0.0,0.0,0.0
635,4095.686,3.41044,1.348,3.2738851682679786,3.2738851682679786,0.0,0.0,0.0,0.0,0.0,0.0
636,4097.519,3.3700001,1.348,3.2738827218638904,3.2738827218638904,0.0,0.0,0.0,0.0,0.0,0.0
637,4099.3506,3.3295603,1.348,3.273880278509497,3.273880278509497,0.0,0.0,0.0,0.0,0.0,0.0
638,4101.1826,3.2891202,1.348,3.273877835597395,3.273877835597395,0.0,0.0,0.0,0.0,0.0,0.0
