# iter, APOLY_COEFF_1, APOLY_COEFF_2, APOLY_COEFF_3, APOLY_COEFF_4, APOLY_COEFF_5, APOLY_COEFF_6, APOLY_COEFF_7, POWER_AMP, POWER_SLOPE, NA_OPT_FEII_AMP, BR_OPT_FEII_AMP, NA_OPT_FEII_DISP, BR_OPT_FEII_DISP, NA_OPT_FEII_VOFF, BR_OPT_FEII_VOFF, NA_OII_VOFF, NA_OII_AMP, NA_OII_DISP, NA_H_BETA_VOFF, NA_H_BETA_AMP, NA_H_BETA_DISP, NA_OIII_a_VOFF, NA_OIII_a_AMP, NA_OIII_a_DISP, NA_OIII_b_VOFF, NA_OIII_b_AMP, NA_OIII_b_DISP, NA_H_ALPHA_VOFF, NA_H_ALPHA_AMP, NA_H_ALPHA_DISP, BR_H_BETA_VOFF, BR_H_BETA_AMP, BR_H_BETA_DISP, BR_OII_VOFF, BR_OII_AMP, BR_OII_DISP, BR_OIII_a_VOFF, BR_OIII_a_AMP, BR_OIII_a_DISP, BR_OIII_b_VOFF, BR_OIII_b_AMP, BR_OIII_b_DISP, BR_H_ALPHA_VOFF, BR_H_ALPHA_AMP, BR_H_ALPHA_DISP
 0, 0.5038153929326397, -0.2484521589870239, 0.06967012313106868, -0.013732637893294037, -0.013976962258363125, -0.013708867332829732, 0.0010267213406681339, 0.18541753109515657, -3.358364017997498, 0.005511046775626828, 0.15695398368227131, 11.989431929410568, 505.10493996134295, 2.3656776925023335, 26.500110088151875, -3.1113525864898537, 3.3743869160213455e-07, 498.78084971263394, 1.030753622598676, 0.0, 50.439064089668726, 8.072362835136383, 0.002444155038561331, 282.78473365031783, 10.671410133259885, 3.645102524671445, 0.0, -0.5029390844073841, 0.0, 50.09260774359691, 42.58601087040835, 0.180801618932992, 618.8244477018521, -3.414507541219567, 0.2319242810604384, 519.8508744855687, 3.1075720925261514, 0.14831013702166454, 500.0, 188.33181147621232, 0.3560520765001442, 829.4217293305651, 70.9929057599336, 0.5912793044013809, 579.1449618277137
100, 0.5038415200627276, -0.2485015810006303, 0.069627128765048, -0.013731723169613286, -0.014104006168723471, -0.013649250276362622, 0.0009614548409720201, 0.1854089740022708, -3.3583901613523937, 0.005564298479448844, 0.1568298980273073, 11.98943545535209, 505.1049259738652, 2.365631279674538, 26.50013988298864, -3.11146676553721, 0.0006018735852746351, 498.7809197342386, 1.03073866902392, 0.0005807813024275719, 50.43909238837722, 8.072290778911483, 0.00254726711213581, 282.78473588358304, 10.671542254785033, 3.6452086383358786, 0.0006295848399691445, -0.5028987150414171, 0.0005607189287199759, 50.092537900147974, 42.58610414467376, 0.1807969882888494, 618.8244057964577, -3.4145739225145677, 0.2318591942188038, 519.8508340134002, 3.1076611531779257, 0.14825601888226186, 500.0006200599213, 188.33179978710808, 0.35596817941145636, 829.4217336320949, 70.99287778677017, 0.5912964610716994, 579.1448493065433
200, 0.5038038758785196, -0.2485373465741823, 0.06961057209513685, -0.013716123710377406, -0.014162179306143233, -0.013589488571108657, 0.0010339168720499112, 0.1855285586528462, -3.3584018354944494, 0.005629295440626885, 0.15682123504609974, 11.98933131721661, 505.1049673985796, 2.3655261899941618, 26.50016045235907, -3.1114436290713305, 0.0006406079581750468, 498.7809627908116, 1.0306932811059781, 0.00061858032363909, 50.43907928960154, 8.07214162133609, 0.002629655301228981, 282.7847204281149, 10.671605943842366, 3.6452905302504455, 0.0007034088446191446, -0.5028284118681066, 0.0005750029944288324, 50.09252482471712, 42.58611420373878, 0.18083096357000505, 618.8242499466255, -3.4146609288036815, 0.2318469821062976, 519.8506300125376, 3.1076627076442938, 0.14819368002466407, 500.00067008019624, 188.3318631750557, 0.35590424875352417, 829.4216158361696, 70.99297721849706, 0.5914110319921702, 579.1448249260452
300, 0.5038021749247882, -0.24862587506033496, 0.06969759037693542, -0.013652869482581069, -0.014253721523467239, -0.013445920924610064, 0.0011793970985649513, 0.18552930072310755, -3.3584458275707996, 0.006123572307301904, 0.15690660538917883, 11.989247904570215, 505.10486045650987, 2.365510350745902, 26.50012740003411, -3.111482274088186, 0.0009938001085968633, 498.78096016658634, 1.0306599658097557, 0.000930558150762515, 50.439138966445576, 8.071974121239085, 0.0031221143511050028, 282.78465004249875, 10.671840055675846, 3.645422709241622, 0.001084855546476963, -0.5026934500597153, 0.000987246302104056, 50.09253547266995, 42.58614131904187, 0.18085738142654753, 618.8242466288931, -3.414916044280504, 0.231744773769613, 519.8504825947311, 3.107938084919444, 0.14801779205295063, 500.00107740496406, 188.3319847833905, 0.3560176934134977, 829.4214537358415, 70.99305832627039, 0.5914689907350504, 579.144721295198
400, 0.5039067802355968, -0.24877340463317316, 0.06981825630956216, -0.013709398369113661, -0.014769862426478578, -0.013530497652450988, 0.0014815190740731445, 0.18557997694128697, -3.3585781460641795, 0.007969859097772189, 0.15712855674242657, 11.989095859454169, 505.10483307521326, 2.3652539803223673, 26.499969054693683, -3.1117315487900474, 0.0020913954198308196, 498.78132854775595, 1.0306621607949293, 0.0021029813266919026, 50.43927333286236, 8.071518674559476, 0.005359912378703632, 282.78459642772174, 10.672107383617083, 3.6457267119704517, 0.0025050121678429176, -0.5025383784827652, 0.0023912476315411835, 50.09235277892602, 42.586543918893874, 0.18094215666119745, 618.8242025863291, -3.4150845151042826, 0.23175384492729723, 519.8503166400171, 3.108394898449161, 0.14782392958036392, 500.0024344521283, 188.33208680668045, 0.3563253733944984, 829.4211326119267, 70.99328463594937, 0.5915473726959857, 579.1440778012832
500, 0.5033813935968494, -0.24872988239552374, 0.07019781288539285, -0.013949038044722174, -0.01554932951879243, -0.01314236496677764, 0.0015308355715632402, 0.18536404783707267, -3.3587437864183802, 0.019068872153272565, 0.15815438030856474, 11.988194683216625, 505.10467027399517, 2.3643959507059202, 26.50025043057576, -3.111859488748758, 0.007742190416041501, 498.7820393182108, 1.0308494523497231, 0.007695568566181378, 50.43911732051443, 8.070247295460408, 0.01826303003665513, 282.7845361688681, 10.673378197189292, 3.6467982921992568, 0.009881467579330363, -0.5023899363567598, 0.008227661435969043, 50.0919707572634, 42.58736804858199, 0.18123379549627527, 618.8228603779528, -3.4158384761348404, 0.23213545039566244, 519.850081131629, 3.1093872280821517, 0.14777655881293858, 500.0093317787347, 188.33239033366445, 0.3568780976227415, 829.4198908221169, 70.9938810168235, 0.591808246834683, 579.1428452880025
600, 0.5018796644000818, -0.24719571840869609, 0.07041688037948339, -0.014159430913986654, -0.016133639982866238, -0.01279927844996152, 0.0015370556618468437, 0.1848770789310507, -3.357470431789527, 0.057388409919964384, 0.16101774845143016, 11.986485992567626, 505.1042302995056, 2.3630975303355246, 26.499954499620667, -3.111285847411764, 0.024176897542525753, 498.78386436386404, 1.0314325227377414, 0.02467796245938218, 50.43922595471637, 8.068182397069359, 0.05798111759498217, 282.78432888847783, 10.677369146063764, 3.647137085568143, 0.036020813618843406, -0.5008437866482757, 0.02801462915133268, 50.090567691442246, 42.58783411652013, 0.18207271746884313, 618.8212332372376, -3.4167860667458307, 0.23295807474917854, 519.849357306669, 3.112183308214865, 0.1483056971837291, 500.02932814769, 188.33436461391713, 0.3585360936003109, 829.4113418833266, 70.99467754203484, 0.5920165791626998, 579.140883915067
700, 0.49897247225064073, -0.2443206626234406, 0.06992183180949502, -0.01497879170265148, -0.016584226114828182, -0.012582077824935178, 0.002520753800493712, 0.18504853085694112, -3.350214757987022, 0.09362226386568963, 0.17150672776531475, 11.982557752152243, 505.1039721683686, 2.360327624196551, 26.49860518359935, -3.1129157426399283, 0.045566381557347456, 498.7873577771439, 1.0340912034585983, 0.04800557590091677, 50.43906901409259, 8.061354418736597, 0.11360955786891513, 282.7823685305499, 10.68793723273688, 3.647137085568143, 0.07073232248587863, -0.4979129287876493, 0.054392949420246556, 50.085882723195226, 42.58638911618388, 0.18525771356781948, 618.8166698728968, -3.417623693224984, 0.2343939471323234, 519.8471888870705, 3.120508171968006, 0.14897519197502432, 500.05323514598007, 188.3391617526982, 0.3631844053142275, 829.3986327789794, 70.99703027218246, 0.589546407104953, 579.1392953854136
800, 0.49525741286935776, -0.23813492854860285, 0.06792575760878541, -0.0169553630736744, -0.01590760419474083, -0.010308585942851695, 0.004920009512337741, 0.18549678321135207, -3.3383530998277617, 0.13601335258534053, 0.19365285910639324, 11.979324036115385, 505.1033287619541, 2.3574664831024226, 26.49702452735621, -3.1140777296519793, 0.06885146466314118, 498.78982426431105, 1.0443771266308541, 0.06974961664646134, 50.4388329346907, 8.057407433649926, 0.15444159938430269, 282.77945470561843, 10.703217548894816, 3.64950199201408, 0.1044918476237557, -0.49327184069405383, 0.07797393475859259, 50.076552164834425, 42.58826723234413, 0.1901798541738512, 618.8096757574536, -3.417130929808661, 0.23499251380577985, 519.8416587662402, 3.133147446830283, 0.14840190642974568, 500.07967846698375, 188.34519167249817, 0.37254236750909436, 829.3759033259741, 71.00249578953026, 0.5867050582301256, 579.1385309840904
900, 0.4893037606022262, -0.23012935487006722, 0.06594335286908262, -0.017118253925908516, -0.016964787821999047, -0.008890277199340879, 0.008163323213765603, 0.18626346071461872, -3.314864726503616, 0.16533724285498763, 0.2206320524750325, 11.969044395137471, 505.09924423417294, 2.353722586995339, 26.48872071001732, -3.1147109546360405, 0.08485538480387313, 498.7920207312192, 1.0518877729502842, 0.08700394919303513, 50.44273616370246, 8.050397724959168, 0.18315610661934015, 282.780923492661, 10.72100377811118, 3.6514848779924987, 0.14050852928387797, -0.4836408416651013, 0.09750216295540268, 50.07402379359196, 42.595395241152964, 0.20388880519287533, 618.8115927748566, -3.417632113152768, 0.23254913281821155, 519.8390610743754, 3.1435327309882926, 0.14660043009976234, 500.10051165490574, 188.35447821251827, 0.3800387599853667, 829.3508075564079, 71.01032645189764, 0.5810212332759136, 579.1349863110213
