4000.06	2.31e-17
4002.37	2.32e-17
4004.69	2.31e-17
4007.01	2.32e-17
4009.33	2.31e-17
4011.65	2.32e-17
4013.96	2.32e-17
4016.28	2.34e-17
4018.6	2.36e-17
4020.92	2.39e-17
4023.24	2.42e-17
4025.56	2.45e-17
4027.88	2.48e-17
4030.2	2.51e-17
4032.52	2.53e-17
4034.84	2.56e-17
4037.16	2.57e-17
4039.49	2.56e-17
4041.81	2.55e-17
4044.13	2.51e-17
4046.45	2.47e-17
4048.78	2.43e-17
4051.1	2.38e-17
4053.42	2.34e-17
4055.74	2.3e-17
4058.07	2.27e-17
4060.39	2.25e-17
4062.72	2.23e-17
4065.04	2.21e-17
4067.37	2.2e-17
4069.69	2.2e-17
4072.02	2.22e-17
4074.34	2.24e-17
4076.67	2.27e-17
4079.0	2.3e-17
4081.32	2.33e-17
4083.65	2.37e-17
4085.98	2.41e-17
4088.3	2.44e-17
4090.63	2.47e-17
4092.96	2.49e-17
4095.29	2.5e-17
4097.62	2.51e-17
4099.94	2.52e-17
4102.27	2.53e-17
4104.6	2.54e-17
4106.93	2.55e-17
4109.26	2.56e-17
4111.59	2.56e-17
4113.92	2.56e-17
4116.25	2.56e-17
4118.58	2.54e-17
4120.92	2.53e-17
4123.25	2.51e-17
4125.58	2.49e-17
4127.91	2.48e-17
4130.24	2.47e-17
4132.58	2.46e-17
4134.91	2.45e-17
4137.24	2.44e-17
4139.58	2.44e-17
4141.91	2.45e-17
4144.24	2.46e-17
4146.58	2.48e-17
4148.91	2.5e-17
4151.25	2.52e-17
4153.58	2.54e-17
4155.92	2.55e-17
4158.25	2.56e-17
4160.59	2.57e-17
4162.92	2.56e-17
4165.26	2.56e-17
4167.6	2.54e-17
4169.93	2.53e-17
4172.27	2.51e-17
4174.61	2.49e-17
4176.95	2.46e-17
4179.29	2.43e-17
4181.62	2.41e-17
4183.96	2.39e-17
4186.3	2.37e-17
4188.64	2.36e-17
4190.98	2.35e-17
4193.32	2.34e-17
4195.66	2.33e-17
4198.0	2.33e-17
4200.34	2.34e-17
4202.68	2.35e-17
4205.02	2.37e-17
4207.36	2.38e-17
4209.7	2.39e-17
4212.05	2.39e-17
4214.39	2.39e-17
4216.73	2.39e-17
4219.07	2.4e-17
4221.42	2.4e-17
4223.76	2.4e-17
4226.1	2.39e-17
4228.45	2.39e-17
4230.79	2.38e-17
4233.13	2.36e-17
4235.48	2.35e-17
4237.82	2.35e-17
4240.17	2.35e-17
4242.51	2.36e-17
4244.86	2.37e-17
