4000.06	2.31
4002.37	2.32
4004.69	2.31
4007.01	2.32
4009.33	2.31
4011.65	2.32
4013.96	2.32
4016.28	2.34
4018.6	2.36
4020.92	2.39
4023.24	2.42
4025.56	2.45
4027.88	2.48
4030.2	2.51
4032.52	2.53
4034.84	2.56
4037.16	2.57
4039.49	2.56
4041.81	2.55
4044.13	2.51
4046.45	2.47
4048.78	2.43
4051.1	2.38
4053.42	2.34
4055.74	2.3
4058.07	2.27
4060.39	2.25
4062.72	2.23
4065.04	2.21
4067.37	2.2
4069.69	2.2
4072.02	2.22
4074.34	2.24
4076.67	2.27
4079.0	2.3
4081.32	2.33
4083.65	2.37
4085.98	2.41
4088.3	2.44
4090.63	2.47
4092.96	2.49
4095.29	2.5
4097.62	2.51
4099.94	2.52
4102.27	2.53
4104.6	2.54
4106.93	2.55
4109.26	2.56
4111.59	2.56
4113.92	2.56
4116.25	2.56
4118.58	2.54
4120.92	2.53
4123.25	2.51
4125.58	2.49
4127.91	2.48
4130.24	2.47
4132.58	2.46
4134.91	2.45
4137.24	2.44
4139.58	2.44
4141.91	2.45
4144.24	2.46
4146.58	2.48
4148.91	2.5
4151.25	2.52
4153.58	2.54
4155.92	2.55
4158.25	2.56
4160.59	2.57
4162.92	2.56
4165.26	2.56
4167.6	2.54
4169.93	2.53
4172.27	2.51
4174.61	2.49
4176.95	2.46
4179.29	2.43
4181.62	2.41
4183.96	2.39
4186.3	2.37
4188.64	2.36
4190.98	2.35
4193.32	2.34
4195.66	2.33
4198.0	2.33
4200.34	2.34
4202.68	2.35
4205.02	2.37
4207.36	2.38
4209.7	2.39
4212.05	2.39
4214.39	2.39
4216.73	2.39
4219.07	2.4
4221.42	2.4
4223.76	2.4
4226.1	2.39
4228.45	2.39
4230.79	2.38
4233.13	2.36
4235.48	2.35
4237.82	2.35
4240.17	2.35
4242.51	2.36
4244.86	2.37
4247.21	2.39
4249.55	2.41
4251.9	2.43
4254.24	2.46
4256.59	2.48
4258.94	2.51
4261.29	2.53
4263.63	2.56
4265.98	2.58
4268.33	2.59
4270.68	2.59
4273.03	2.59
4275.38	2.58
4277.73	2.55
4280.07	2.52
4282.42	2.49
4284.77	2.46
4287.13	2.42
4289.48	2.39
4291.83	2.35
4294.18	2.32
4296.53	2.3
4298.88	2.27
4301.23	2.26
4303.59	2.25
4305.94	2.25
4308.29	2.26
4310.64	2.27
4313.0	2.28
4315.35	2.3
4317.7	2.31
4320.06	2.32
4322.41	2.33
4324.77	2.34
4327.12	2.34
4329.48	2.35
4331.83	2.36
4334.19	2.37
4336.54	2.38
4338.9	2.38
4341.26	2.39
4343.61	2.39
4345.97	2.39
4348.33	2.39
4350.68	2.4
4353.04	2.41
4355.4	2.42
4357.76	2.42
4360.12	2.41
4362.48	2.4
4364.83	2.38
4367.19	2.36
4369.55	2.34
4371.91	2.31
4374.27	2.29
4376.63	2.26
4378.99	2.23
4381.35	2.2
4383.72	2.18
4386.08	2.16
4388.44	2.15
4390.8	2.15
4393.16	2.16
4395.53	2.18
4397.89	2.2
4400.25	2.22
4402.61	2.25
4404.98	2.29
4407.34	2.33
4409.7	2.37
4412.07	2.41
4414.43	2.45
4416.8	2.48
4419.16	2.5
4421.53	2.52
4423.89	2.53
4426.26	2.54
4428.63	2.54
4430.99	2.53
4433.36	2.52
4435.73	2.51
4438.09	2.5
4440.46	2.49
4442.83	2.48
4445.19	2.47
4447.56	2.45
4449.93	2.44
4452.3	2.43
4454.67	2.42
4457.04	2.41
4459.41	2.4
4461.78	2.39
4464.15	2.38
4466.52	2.37
4468.89	2.36
4471.26	2.36
4473.63	2.37
4476.0	2.39
4478.37	2.41
4480.74	2.44
4483.11	2.47
4485.49	2.5
4487.86	2.52
4490.23	2.54
4492.6	2.58
4494.98	2.61
4497.35	2.63
4499.73	2.65
4502.1	2.65
4504.47	2.63
4506.85	2.61
4509.22	2.58
4511.6	2.55
4513.97	2.52
4516.35	2.5
4518.72	2.48
4521.1	2.47
4523.48	2.46
4525.85	2.45
4528.23	2.46
4530.61	2.46
4532.98	2.48
4535.36	2.49
4537.74	2.5
4540.12	2.52
4542.49	2.54
4544.87	2.55
4547.25	2.56
4549.63	2.55
4552.01	2.54
4554.39	2.52
4556.77	2.49
4559.15	2.44
4561.53	2.4
4563.91	2.36
4566.29	2.32
4568.67	2.28
4571.05	2.25
4573.43	2.21
4575.82	2.17
4578.2	2.13
4580.58	2.1
4582.96	2.07
4585.35	2.05
4587.73	2.04
4590.11	2.04
4592.49	2.04
4594.88	2.04
4597.26	2.03
4599.65	2.03
4602.03	2.02
4604.42	2.01
4606.8	2.01
4609.19	2
4611.57	2
4613.96	1.99
4616.34	1.99
4618.73	1.99
4621.12	1.99
4623.5	2
4625.89	2.03
4628.28	2.06
4630.66	2.1
4633.05	2.14
4635.44	2.19
4637.83	2.24
4640.22	2.29
4642.61	2.35
4644.99	2.4
4647.38	2.45
4649.77	2.49
4652.16	2.53
4654.55	2.55
4656.94	2.56
4659.33	2.56
4661.72	2.56
4664.11	2.55
4666.51	2.54
4668.9	2.52
4671.29	2.51
4673.68	2.48
4676.07	2.46
4678.46	2.44
4680.86	2.43
4683.25	2.41
4685.64	2.4
4688.04	2.39
4690.43	2.39
4692.82	2.38
4695.22	2.37
4697.61	2.36
4700.01	2.35
4702.4	2.34
4704.8	2.33
4707.19	2.32
4709.59	2.31
4711.98	2.3
4714.38	2.29
4716.78	2.28
4719.17	2.28
4721.57	2.28
4723.97	2.28
4726.36	2.29
4728.76	2.29
4731.16	2.3
4733.56	2.31
4735.95	2.32
4738.35	2.33
4740.75	2.35
4743.15	2.36
4745.55	2.38
4747.95	2.39
4750.35	2.4
4752.75	2.42
4755.15	2.43
4757.55	2.45
4759.95	2.47
4762.35	2.48
4764.75	2.5
4767.15	2.52
4769.55	2.54
4771.96	2.56
4774.36	2.59
4776.76	2.61
4779.16	2.63
4781.57	2.64
4783.97	2.65
4786.37	2.64
4788.78	2.63
4791.18	2.61
4793.58	2.59
4795.99	2.57
4798.39	2.54
4800.8	2.5
4803.2	2.45
4805.61	2.4
4808.01	2.35
4810.42	2.3
4812.82	2.27
4815.23	2.24
4817.64	2.23
4820.04	2.23
4822.45	2.24
4824.86	2.25
4827.26	2.27
4829.67	2.3
4832.08	2.33
4834.49	2.36
4836.9	2.4
4839.3	2.44
4841.71	2.46
4844.12	2.48
4846.53	2.48
4848.94	2.47
4851.35	2.46
4853.76	2.44
4856.17	2.43
4858.58	2.42
4860.99	2.41
4863.4	2.41
4865.81	2.4
4868.22	2.4
4870.64	2.4
4873.05	2.41
4875.46	2.43
4877.87	2.45
4880.28	2.46
4882.7	2.48
4885.11	2.49
4887.52	2.5
4889.94	2.51
4892.35	2.5
4894.76	2.5
4897.18	2.49
4899.59	2.48
4902.01	2.48
4904.42	2.47
4906.84	2.46
4909.25	2.45
4911.67	2.44
4914.08	2.44
4916.5	2.42
4918.92	2.41
4921.33	2.4
